id	length	burst	priority
1	900	94	29
2	852	38	15
3	808	30	1
4	33	52	34
5	605	44	28
6	742	57	44
7	423	40	42
8	499	58	46
9	463	66	12
10	140	26	5
11	650	22	49
12	677	6	44
13	360	71	17
14	241	5	41
15	893	99	29
16	851	67	41
17	679	23	50
18	3	83	2
19	416	91	4
20	533	50	28
21	662	36	18
22	527	70	39
23	239	66	44
24	145	1	44
25	623	42	7
26	569	79	11
27	921	19	27
28	471	72	9
29	104	66	38
30	239	33	24
31	895	22	45
32	776	63	32
33	101	57	35
34	503	42	12
35	66	68	22
36	619	13	6
37	546	72	29
38	410	39	42
39	101	35	44
40	262	72	24
41	83	29	42
42	341	51	29
43	54	2	48
44	150	35	28
45	749	88	32
46	974	9	43
47	74	37	2
48	130	14	14
49	431	78	1
50	947	12	31
